NAME                                     | CODE       | LONGS (Sample)
----------------------------------------------------------------------
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70285
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 15183
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 70775
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 62016
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 23955
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 62849
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 71503
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 42058
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 69166
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85687
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 67808
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 81725
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 75804
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70683
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 75984
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68694
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 73511
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 84023
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 82935
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 96555
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 87917
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 83882
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 78898
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 77286
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82749
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 92945
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 73119
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 73775
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82585
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 76213
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 66391
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76491
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 90084
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 61737
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 26237
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 61767
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 67567
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 35935
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 70420
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 29350
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 67502
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 73557
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 62942
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 24662
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 72564
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76663
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 66624
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 21083
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 22105
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 65524
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 77026
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85091
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 72355
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 29366
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 32844
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 72026
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85720
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 69089
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82637
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 18524
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 28879
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 72608
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85026
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70925
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82789
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 51240
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 71327
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 59155
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 84033
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70973
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 83169
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 67290
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76652
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 26867
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 77302
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 78223
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 46866
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78932
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 82108
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 57111
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 81547
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85897
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 86207
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 63709
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 63305
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 76558
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76429
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 84598
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 76101
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85010
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 85405
