SEARCH TERM          | FULL NAME | CODE
--------------------------------------------------------------------------------
INDUSTRIAL AVERAGE   | DOW JONES INDUSTRIAL AVERAGE - CHICAGO BOARD OF TRADE | 124601
LIGHT SWEET          | CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE | 067411
LIGHT SWEET          | CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE | 067651
LIGHT SWEET          | CRUDE OIL, LIGHT SWEET - ICE FUTURES EUROPE | 067411
HENRY HUB            | HENRY HUB BASIS - ICE FUTURES ENERGY DIV | 0233AG
HENRY HUB            | HENRY HUB INDEX - ICE FUTURES ENERGY DIV | 0233AH
HENRY HUB            | HENRY HUB - NEW YORK MERCANTILE EXCHANGE | 03565B
HENRY HUB            | HENRY HUB LAST DAY FIN - NEW YORK MERCANTILE EXCHANGE | 023A55
HENRY HUB            | HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE | 03565C
HENRY HUB            | HENRY HUB PENULTIMATE FIN - NEW YORK MERCANTILE EXCHANGE | 023A56
HENRY HUB            | HENRY HUB - TAILGATE LOUISIANA (BASIS) - ICE FUTURES ENERGY DIV | 0233AG
HENRY HUB            | HENRY HUB - TAILGATE LOUISIANA (INDEX) - ICE FUTURES ENERGY DIV | 0233AH
HENRY HUB            | HENRY HUB PENULTIMATE GAS SWAP - NEW YORK MERCANTILE EXCHANGE | 03565C
HENRY HUB            | HENRY HUB NAT GAS FINL-10000 - NASDAQ FUTURES | 023P01
HENRY HUB            | HENRY HUB SWAP - NEW YORK MERCANTILE EXCHANGE | 03565B
HENRY HUB            | NATURAL GAS ICE HENRY HUB LD1 - ICE FUTURES ENERGY DIV | 023391
HENRY HUB            | NATURAL GAS ICE HENRY HUB - ICE FUTURES ENERGY DIV | 023391
HENRY HUB            | HENRY HUB - TAILGATE, LOUISIANA (INDEX) - ICE FUTURES ENERGY DIV | 0233AH
HENRY HUB            | HENRY HUB - TAILGATE, LOUISIANA (BASIS) - ICE FUTURES ENERGY DIV | 0233AG
HENRY HUB            | NATURAL GAS ICE HENRY HUB - ICE OTC | 023391
HENRY HUB            | HENRY HUB BASIS SWAP - NEW YORK MERCANTILE EXCHANGE | 035652
SOYBEANS             | SOYBEANS - CHICAGO BOARD OF TRADE | 005602
SOYBEANS             | MINI SOYBEANS - CHICAGO BOARD OF TRADE | 005603
WHEAT                | WHEAT-SRW - CHICAGO BOARD OF TRADE | 001602
WHEAT                | WHEAT-HRW - CHICAGO BOARD OF TRADE | 001612
WHEAT                | WHEAT-HRSpring - MIAX FUTURES EXCHANGE | 001626
WHEAT                | WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE | 001626
WHEAT                | BLACK SEA WHEAT FINANCIAL - CHICAGO BOARD OF TRADE | 00160F
WHEAT                | WHEAT - MINNEAPOLIS GRAIN EXCHANGE | 001626
WHEAT                | WHEAT - CHICAGO BOARD OF TRADE | 001602
WHEAT                | WHEAT - KANSAS CITY BOARD OF TRADE | 001612
CORN                 | CORN - CHICAGO BOARD OF TRADE | 002602
CORN                 | MINI CORN - CHICAGO BOARD OF TRADE | 002603
JAPANESE YEN         | JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE | 097741
JAPANESE YEN         | EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE | 399741
EURO FX              | EURO FX - CHICAGO MERCANTILE EXCHANGE | 099741
EURO FX              | EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE | 299741
EURO FX              | EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE | 399741
