KEYWORD    | MATCHED NAME
------------------------------------------------------------
S&P        | E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE (138749)
S&P        | E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE (13874H)
S&P        | E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE (13874J)
NASDAQ     | NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE (20974+)
NASDAQ     | MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE (209747)
NASDAQ     | NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE (209742)
DOW        | UP DOWN GC ULSD VS HO SPR - NEW YORK MERCANTILE EXCHANGE (022A13)
DOW        | DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE (124606)
DOW        | JET UP-DOWN BALMO - NEW YORK MERCANTILE EXCHANGE (86465K)
VIX        | VIX FUTURES - CBOE FUTURES EXCHANGE (1170E1)
NIKKEI     | NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE (240741)
NIKKEI     | NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE (240743)
GOLD       | MICRO GOLD - COMMODITY EXCHANGE INC. (088695)
GOLD       | GOLD - COMMODITY EXCHANGE INC. (088691)
SILVER     | SILVER - COMMODITY EXCHANGE INC. (084691)
COPPER     | COPPER- #1 - COMMODITY EXCHANGE INC. (085692)
COPPER     | COPPER-GRADE #1 - COMMODITY EXCHANGE INC. (085692)
OIL        | GULF JET NY HEAT OIL SPR - NEW YORK MERCANTILE EXCHANGE (86465A)
OIL        | FUEL OIL-3% USGC/3.5% FOB RDAM - ICE FUTURES ENERGY DIV (02141C)
OIL        | GULF # 6 FUEL OIL CRACK - NEW YORK MERCANTILE EXCHANGE (86565A)
GAS        | ONEOK GAS TRANSPORTATION BASIS - ICE FUTURES ENERGY DIV (0233BF)
GAS        | NAT GAS ICE PEN - ICE FUTURES ENERGY DIV (023392)
GAS        | NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV (0233AT)
BITCOIN    | BITCOIN - CHICAGO MERCANTILE EXCHANGE (133741)
BITCOIN    | Nano Bitcoin - LMX LABS LLC (133LM1)
BITCOIN    | MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE (133742)
ETHER      | ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE (146021)
ETHER      | NANO ETHER - LMX LABS LLC (146LM1)
ETHER      | MICRO ETHER - CHICAGO MERCANTILE EXCHANGE (146022)
EUR        | EURO SHORT TERM RATE - CHICAGO MERCANTILE EXCHANGE (047745)
EUR        | CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE (067411)
EUR        | EURO FX - CHICAGO MERCANTILE EXCHANGE (099741)
AUD        | ARGUS PROPANE SAUDI ARAMCO - NEW YORK MERCANTILE EXCHANGE (06665A)
AUD        | PROPANE ARGUS SAUDI CP FP - ICE FUTURES ENERGY DIV (06641H)
AUD        | PROPANE ARGUS SAUDI CP MINI - ICE FUTURES ENERGY DIV (06639H)
CORN       | CORN - CHICAGO BOARD OF TRADE (002602)
CORN       | MINI CORN - CHICAGO BOARD OF TRADE (002603)
SOY        | SOYBEANS - CHICAGO BOARD OF TRADE (005602)
SOY        | SOYBEAN OIL - CHICAGO BOARD OF TRADE (007601)
SOY        | SOYBEAN MEAL - CHICAGO BOARD OF TRADE (026603)
WHEAT      | WHEAT-SRW - CHICAGO BOARD OF TRADE (001602)
WHEAT      | WHEAT-HRW - CHICAGO BOARD OF TRADE (001612)
WHEAT      | WHEAT-HRSpring - MIAX FUTURES EXCHANGE (001626)
